,총계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2013,658188,92400,44217,34550,41594,22676,25263,19032,1305,182231,16007,17446,26411,23266,18895,37230,50370,5295
2014,652546,91195,43909,34554,40369,22288,25024,18336,1699,181812,15947,17489,26096,23296,18951,37274,49011,5296
2015,682553,91394,45175,36951,42389,23741,25660,19177,4108,191293,17387,18305,27141,25059,19983,38663,50580,5547
2016,704138,91026,46628,38865,44625,24790,25921,19604,4888,196618,18149,18932,28288,26389,20801,40185,52486,5943
2017,694631,88987,45853,38936,44009,24654,25067,19571,5370,194299,17438,18351,28242,25768,20710,39836,51647,5893
2018,675998,85213,44361,38475,42324,24609,24012,18545,6393,189645,16561,17568,27991,24297,19670,38961,51276,6097
2019,633913,78009,42240,36185,39373,23252,22898,17266,6541,176782,15388,16629,26671,22025,18682,36723,49068,6181
2020,612538,74657,40765,35651,38319,23220,22132,16882,6763,169686,14679,16049,25594,21188,17889,35478,47191,6395
2021,582572,69958,38651,33958,36170,22198,21276,15871,6600,161980,13684,15576,24556,20022,17276,33375,45144,6277
2022,552812,66524,36308,32272,35427,20998,20405,14779,6422,153149,13168,14993,23647,18740,16285,31365,42385,5945
