,총계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2013,8678,869,383,361,411,295,260,193,25,2087,379,341,507,523,546,703,683,112
2014,8826,884,395,375,412,308,265,196,30,2137,385,344,506,526,551,716,682,114
2015,8930,888,403,392,418,315,268,194,43,2188,386,343,503,530,552,711,679,117
2016,8987,879,412,375,427,321,269,196,45,2234,379,345,509,532,553,707,686,118
2017,9029,880,417,370,430,318,269,199,53,2258,375,345,508,536,553,710,690,118
2018,9021,876,413,369,423,314,269,197,59,2275,373,341,511,531,551,709,691,119
2019,8837,830,408,355,403,312,260,200,60,2237,368,328,499,519,542,707,686,123
2020,8705,795,403,346,404,298,256,198,61,2206,366,326,499,507,530,701,686,123
2021,8660,787,397,342,399,294,253,196,62,2209,363,327,498,507,524,696,683,123
2022,8562,788,394,329,396,288,255,191,64,2175,359,324,498,501,516,682,683,119
