,총계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2013,322807,68819,20734,13601,18010,8820,9621,7998,743,77649,7946,9307,12482,9823,9995,15421,20291,3638
2014,305507,64823,18927,12552,17251,8213,9118,7674,920,74306,7785,8774,12040,9211,9357,14183,19056,3593
2015,302828,64193,18553,12545,17118,7945,8805,7483,1498,73950,7876,8872,12331,9060,9275,14273,18671,3676
2016,281635,57643,17113,12216,16092,7468,8325,7006,1612,70052,7468,8334,11792,8216,8554,13363,17580,3705
2017,264455,53776,15677,11392,15235,7141,7697,6331,1728,66429,7295,7990,10961,7817,8049,12190,15978,3654
2018,257622,52005,14781,10967,14850,6632,7377,5894,2038,66877,6994,7827,10970,7219,7587,11687,14996,3638
2019,239159,48261,13780,9880,13401,6297,6602,5442,2039,62356,6762,7239,9826,7005,7413,10637,13613,3358
2020,213502,44746,12128,8340,11574,5560,5976,4737,1854,57814,5868,6682,8493,6053,6365,9046,11900,2981
2021,192507,37012,11081,7287,10881,4901,5419,4077,1627,54658,5622,5882,8016,5325,6201,8163,10531,2661
2022,191690,35752,10618,7497,10849,4902,5662,4013,1664,54178,5572,6185,8017,5394,6181,8180,10504,2718
